#Buckets	Mean jobs - Keys 1	Std jobs - Keys 1	Mean jobs - Keys 3	Std jobs - Keys 3	Mean jobs - Keys 6	Std jobs - Keys 6	Mean jobs - Keys 9	Std jobs - Keys 9
1.9	1993.7376	175.362395751	4146.63255	92.5777085142	4266.02157	492.962791516	4063.30566	93.3853506654
2.0	1752.36	163.876956625	3432.22218	171.466847102	3619.07502	362.418732779	3374.89815	40.0267602803
2.1	1370.69952	157.610975534	2792.91654	119.744155202	2850.87612	265.384949246	2619.09924	80.7800693641
2.2	1157.15592	163.6780031	2119.70997	80.018874115	2286.10737	197.221095352	2142.85332	4.01347322081
2.3	1008.1818	137.717014685	1789.14783	50.1317907206	1908.66321	234.471401188	1788.94137	44.9560534224
2.4	891.53271	100.962808696	1432.64748	39.0756739484	1590.42627	201.327382138	1415.64258	18.3027863238
2.5	802.66077	112.56976267	1332.96756	94.8954422941	1353.0921	121.849339916	1246.31103	37.218133832
2.6	742.37874	72.1734362306	1127.2059	75.9750695006	1170.30888	158.521078579	1106.96187	68.1341571758
2.7	687.79872	54.6528669819	1031.69298	96.367098827	1049.82615	115.437387709	936.73575	70.2447171429
2.8	618.54039	20.2356114307	899.90784	107.659854079	956.8848	103.132705234	846.47619	43.428073705
2.9	620.08767	32.745634878	811.20018	72.2863017097	867.69726	103.504799537	741.20868	53.314620184
3.0	567.01494	50.7798732612	825.61002	38.6770569702	830.33811	98.8140925927	736.45266	85.2352527965
3.1	533.04966	18.1829966831	708.45465	28.4516100736	735.01278	89.1427892437	649.44687	56.766611802
3.2	521.95653	43.8939161698	700.82382	20.8455803093	688.2183	68.9745805625	591.35592	72.090555576
3.3	467.91276	45.1783458589	639.27672	29.7685155702	655.48917	30.3988213004	541.00122	50.0446107668
3.4	439.90083	25.425543623	577.68606	46.4024286384	609.07698	33.4268964297	510.27324	27.086313413
3.5	415.31694	13.8234755971	566.99451	23.1809065433	558.20511	26.7909120113	521.74662	57.8171640912
3.6	396.65952	14.5597366692	536.79924	18.4372436773	533.85591	22.55798243	525.51699	53.2194175537
3.7	384.29361	6.7662791803	474.88602	31.1764354673	523.38855	15.2846539021	519.95664	16.9630870958
3.8	363.7368	15.8495583404	443.46792	28.9368556411	494.03175	11.1159588707	519.71181	8.33711710465
3.9	329.20635	1.53447166484	440.51337	35.6163480455	500.91744	16.0794245871	507.52506	29.7926945775
