#Buckets	Mean jobs - Keys 1	Std jobs - Keys 1	Mean jobs - Keys 3	Std jobs - Keys 3	Mean jobs - Keys 6	Std jobs - Keys 6	Mean jobs - Keys 9	Std jobs - Keys 9
1.9	2062.28118	96.9567272818	2303.42298	125.425677094	2602.83933	223.817856988	2925.10245	151.752266283
2.0	1800.49929	128.319980072	1924.91355	238.17259583	2096.43381	206.751781219	2447.80275	160.032081342
2.1	1383.76329	29.2660758761	1511.99301	120.600970143	1584.72162	111.872592599	1884.72513	137.088382875
2.2	1183.85475	17.1225935771	1242.35421	98.5780951741	1286.37207	134.074461311	1520.63364	127.58165793
2.3	1027.77111	35.9970113509	1060.88931	83.9615142822	1078.19862	73.3525383287	1233.15258	89.2397701768
2.4	896.12712	7.91067607937	922.7424	101.811848946	893.76921	59.0963030137	1045.70061	104.799188699
2.5	846.56616	7.20616340049	860.67843	116.715238702	789.7386	71.2257323324	908.79984	45.4707184828
2.6	752.54853	34.8755217454	796.45557	110.315842403	725.68491	35.6952990764	794.89605	79.4582616922
2.7	692.91363	43.6135375063	728.00358	127.078728517	643.44105	67.1030398642	721.98186	37.2417555713
2.8	655.29906	34.2969722361	687.40101	101.216654938	614.57907	51.0184592617	686.03985	43.780706128
2.9	632.77029	12.6880086495	623.24799	94.0979783514	600.2643	31.8896145134	627.75528	36.0650278249
3.0	629.94279	64.8632928114	606.88698	83.5453561856	568.52337	47.4706289669	557.55798	24.9622174982
3.1	548.42331	12.9639036518	598.43061	111.391857875	563.15394	38.4565499456	511.5351	12.3515566834
3.2	554.6112	33.4772893261	529.31373	111.95964061	549.54732	43.6551807422	458.96715	42.6530398697
3.3	511.38084	42.6002223617	487.17363	83.7685009258	526.6269	34.8939268733	461.04798	12.1032383569
3.4	496.63794	46.8861213323	461.57976	100.254415429	507.14328	22.536798056	430.35558	45.9356491516
3.5	464.85606	26.4670674684	444.30969	72.5419257747	476.13816	16.3187682897	403.03809	44.8300602009
3.6	426.46323	38.0994876646	400.31403	75.5922081037	463.96071	23.7767129643	413.42358	51.2487517291
3.7	411.03942	20.5973834557	405.78618	94.3368737533	429.89679	19.4186156435	405.11784	45.2862161507
3.8	369.33348	20.1324023017	351.02472	74.8648687252	442.66839	36.0724538594	396.92898	52.756251611
3.9	366.66189	27.0125837657	356.14518	42.2512143312	398.61777	26.910899133	361.1298	56.4617916574
4.0	347.21151	23.9495020088	342.19704	39.9394371637	432.28761	16.157235309	369.18687	76.3688821071
4.1	352.3284	31.2958194637	323.16273	53.40803513	397.97925	48.9033113416	345.61359	46.2864142142
4.2	302.60913	37.8659638778	304.55898	23.5120011445	390.20337	35.7364960282	302.28369	36.3211726949
4.3	306.52542	6.90415008426	289.87182	23.5062973523	349.0011	19.4429115713	310.85808	32.6510248062
4.4	293.78901	31.7312729171	269.18313	23.1972758504	337.14846	25.4031038446	291.01626	43.4435881165
4.5	263.09898	36.7894056405	272.46339	7.80196313976	326.30268	23.7209083883	269.06787	37.5610255401
4.6	283.26399	14.2184612147	268.91652	13.1361756024	335.49792	41.6333401625	278.50698	41.5142286829
4.7	274.93578	20.3003823435	255.56943	20.9919954275	313.45245	56.9245175008	271.49184	17.7546241842
4.8	276.53127	22.995125401	271.85769	35.8631486869	328.25118	36.2260332769	270.53484	38.4272938099
4.9	270.7455	34.8163529358	280.24653	17.7356436253	334.63071	56.5279846035	274.21476	35.0105858512
5.0	255.84993	25.7314860383	264.41448	28.6759759342	312.34713	55.418827877	272.05623	32.1163694707
5.1	234.55425	11.1949157249	261.3168	23.7527394511	311.49222	32.35328512	262.20291	19.6661735389
5.2	216.92709	1.7842792893	208.44828	27.7205318956	288.47949	38.6346424557	255.84918	38.1364064874
5.3	200.60943	14.2555306668	210.07323	20.4875441714	248.05839	33.0782761377	229.57641	25.8001313212
5.4	199.42179	4.46627407419	201.05568	10.3717054027	236.93166	31.3007869769	212.75736	40.2773533373
5.5	173.81553	19.9632757465	184.54461	7.92352532211	206.76039	22.4375705844	200.91039	31.0916829885
5.6	152.68101	6.80936476056	172.90113	8.0876187521	204.71112	16.1621220144	199.64706	37.3443324638
