#Buckets	Mean jobs - Keys 1	Std jobs - Keys 1	Mean jobs - Keys 3	Std jobs - Keys 3	Mean jobs - Keys 6	Std jobs - Keys 6	Mean jobs - Keys 9	Std jobs - Keys 9
5.8	83.3333333333	11.6141675935	105.666666667	6.34209919681	110.0	12.9614813968	127.333333333	13.7679176187
5.9	75.6666666667	9.28559218479	110.666666667	7.76029781788	109.333333333	13.4246870437	121.333333333	2.05480466766
6.0	75.3333333333	12.2836838485	108.666666667	17.7451088723	109.666666667	13.8884444373	124.0	5.71547606649
6.1	98.3333333333	16.0485374896	121.0	19.3045763141	109.333333333	17.5562587764	130.333333333	8.73053390247
6.2	102.333333333	13.7679176187	115.333333333	8.73053390247	111.0	36.8872154908	137.333333333	7.13364485301
6.3	104.333333333	19.6015872373	133.0	3.55902608401	128.333333333	13.1993265821	146.666666667	2.86744175568
6.4	110.0	16.3095064303	155.666666667	29.4542960458	129.0	35.5808937493	170.666666667	20.3688214899
6.5	131.666666667	33.0790299468	164.666666667	13.0724477008	158.333333333	22.6028513442	179.0	3.26598632371
6.6	141.0	19.6129209111	191.666666667	13.9124245031	171.0	24.344746182	208.666666667	9.1043335225
6.7	178.333333333	6.01849002842	236.666666667	7.58653778449	205.666666667	39.4658783705	224.666666667	13.4742552876
6.8	230.666666667	28.2410261066	311.333333333	23.8094285712	234.0	55.7554182718	275.666666667	34.4512538072
6.9	379.333333333	47.3943268991	436.666666667	37.8094638359	334.0	62.0322496771	373.333333333	26.1066189989
7.0	622.333333333	111.481936753	587.0	41.7372735094	485.333333333	62.5690729425	547.666666667	20.0720922898
7.1	1079.33333333	74.9236648567	1000.33333333	50.4402837246	763.0	90.0259221928	822.666666667	52.7404546393
7.2	1706.0	171.749818049	1739.66666667	87.3854806145	1344.33333333	138.915641868	1329.0	44.5495978283
7.3	1583.0	168.388439825	1864.66666667	61.266267681	1747.0	125.740473463	1656.0	21.9241115365
7.4	1193.33333333	154.631461511	1789.66666667	55.631725561	1849.33333333	106.628118034	1849.66666667	29.5559732635
7.5	903.0	117.584012519	1570.66666667	48.8148429157	1742.33333333	134.861245566	1744.33333333	4.10960933531
7.6	610.0	70.2329457354	1204.33333333	39.8775904766	1439.33333333	65.9612680964	1610.0	96.253138477
7.7	423.0	38.7900330841	891.666666667	59.0668171556	1073.66666667	50.2814301927	1241.66666667	70.8347058691
7.8	254.0	31.1555238548	593.666666667	19.1891172862	748.666666667	79.8094953972	869.0	58.804761712
7.9	147.333333333	7.76029781788	419.0	7.7888809637	512.333333333	53.1057644915	589.333333333	54.4691553899
8.0	109.666666667	12.4721912892	307.666666667	12.4988888395	358.666666667	43.3384612351	400.333333333	24.1430919496
8.1	75.6666666667	8.73053390247	216.666666667	11.0855260989	259.0	25.1528659732	283.666666667	57.9214026841
8.2	56.6666666667	4.7842333648	157.666666667	12.5521135892	183.333333333	23.2283351869	208.333333333	15.9652400198
8.3	41.6666666667	7.03957069398	112.333333333	18.2635033757	144.333333333	32.8261413443	159.666666667	20.3360653902
8.4	34.3333333333	4.49691252108	92.0	21.7715410571	111.333333333	12.7104506433	119.0	0.816496580928
8.5	27.6666666667	4.9888765157	64.0	9.2736184955	77.3333333333	0.471404520791	81.6666666667	12.2836838485
8.6	24.3333333333	1.24721912892	59.0	14.8996644258	70.3333333333	12.1197726418	82.3333333333	9.5684667296
8.7	19.0	2.82842712475	47.6666666667	3.68178700573	59.6666666667	5.24933858267	54.3333333333	5.73488351136
8.8	15.0	4.54606056566	37.6666666667	9.1043335225	43.3333333333	0.942809041582	57.0	2.16024689947
8.9	13.3333333333	1.24721912892	30.3333333333	6.12825877028	45.0	2.94392028878	43.6666666667	7.13364485301
9.0	13.6666666667	3.85861230093	32.3333333333	1.24721912892	37.0	5.35412613474	46.6666666667	2.86744175568
9.1	13.6666666667	2.62466929134	37.6666666667	4.7842333648	39.0	2.94392028878	38.6666666667	6.94422221867
9.2	16.0	7.48331477355	26.0	4.32049379894	33.6666666667	7.71722460186	38.3333333333	6.12825877028
9.3	13.6666666667	2.62466929134	28.0	4.32049379894	30.0	1.63299316186	27.6666666667	2.05480466766
9.4	8.66666666667	4.0276819912	24.3333333333	3.85861230093	28.3333333333	4.92160768674	36.3333333333	2.35702260396
9.5	9.33333333333	2.05480466766	18.6666666667	4.7842333648	26.3333333333	2.05480466766	28.6666666667	6.94422221867
9.6	15.6666666667	5.43650214343	23.6666666667	1.88561808316	24.3333333333	0.471404520791	31.0	2.94392028878
9.7	11.6666666667	0.942809041582	20.0	2.94392028878	27.3333333333	5.43650214343	22.3333333333	8.73053390247
9.8	13.3333333333	1.6996731712	17.3333333333	1.88561808316	26.3333333333	9.80929264637	21.0	5.09901951359
