#Buckets	Mean jobs - Keys 1	Std jobs - Keys 1	Mean jobs - Keys 3	Std jobs - Keys 3	Mean jobs - Keys 6	Std jobs - Keys 6	Mean jobs - Keys 9	Std jobs - Keys 9
3.6	197.333333333	25.8370965001	189.666666667	29.3295452099	246.0	33.5360502544	195.0	22.642143597
3.7	186.666666667	24.1430919496	172.333333333	17.5562587764	233.333333333	4.92160768674	198.666666667	12.2836838485
3.8	172.0	20.6074420214	169.0	13.5892114071	215.333333333	5.43650214343	187.333333333	30.4448499567
3.9	169.0	8.64098759788	164.0	12.1928941054	192.666666667	20.2868320729	187.333333333	13.0213499897
4.0	152.666666667	18.3726850394	155.0	6.16441400297	188.666666667	22.4845626054	164.333333333	12.7104506433
4.1	169.666666667	33.068951534	176.0	9.93310961717	171.333333333	32.2524762185	151.333333333	22.9830855679
4.2	128.333333333	19.6185852927	144.0	17.1464281995	192.666666667	26.0810701894	159.666666667	31.8468557667
4.3	149.666666667	5.55777733351	149.333333333	10.8423039782	178.333333333	21.7460085737	172.333333333	32.190405748
4.4	167.666666667	4.7842333648	161.666666667	12.4988888395	198.666666667	31.584102893	167.666666667	31.4147877422
4.5	154.0	15.6418242755	167.666666667	18.6607133364	192.0	25.6645020732	159.666666667	19.2930615047
4.6	136.333333333	7.93025150225	166.333333333	28.8713622047	171.333333333	10.0774776386	154.666666667	7.4087035903
4.7	139.333333333	14.6590889515	149.333333333	17.6131264182	160.333333333	17.0163320241	152.0	11.7756811551
4.8	107.666666667	4.49691252108	116.0	7.7888809637	158.666666667	13.7679176187	136.333333333	17.3269218912
4.9	118.666666667	2.49443825785	107.666666667	4.49691252108	142.0	10.677078252	125.666666667	28.8944439104
5.0	101.666666667	6.79869268479	92.6666666667	7.03957069398	118.666666667	14.9740516301	118.0	20.9920619918
5.1	105.0	9.41629792788	114.0	5.65685424949	122.666666667	13.2748718345	110.666666667	26.7872274705
5.2	86.6666666667	3.68178700573	91.0	4.89897948557	111.666666667	9.84321537349	100.0	20.6074420214
5.3	79.3333333333	6.84754619472	87.6666666667	6.94422221867	106.333333333	6.79869268479	108.333333333	22.365648263
5.4	76.0	7.7888809637	89.3333333333	6.59966329107	81.3333333333	7.58653778449	95.6666666667	13.5728487143
5.5	79.3333333333	12.4988888395	87.0	12.9614813968	92.3333333333	20.499322482	81.6666666667	16.8588914885
5.6	64.3333333333	5.1854497287	76.0	5.09901951359	90.0	5.88784057755	90.6666666667	11.5854314647
5.7	68.3333333333	4.0276819912	78.6666666667	11.0855260989	92.0	7.7888809637	89.0	13.5892114071
5.8	74.3333333333	1.24721912892	79.3333333333	6.12825877028	75.0	2.44948974278	86.0	9.41629792788
5.9	78.6666666667	13.4742552876	81.6666666667	13.5973853696	89.6666666667	18.1169043223	91.3333333333	4.64279609239
6.0	84.3333333333	9.17726659862	70.3333333333	11.0855260989	92.0	21.2759645296	79.6666666667	13.5236418501
6.1	84.6666666667	7.31816613337	83.6666666667	14.8174071806	85.6666666667	11.8977121984	85.6666666667	8.37987005998
6.2	98.3333333333	10.0774776386	90.3333333333	7.76029781788	108.666666667	17.8200885395	95.3333333333	11.5566238822
6.3	99.3333333333	5.31245915017	93.3333333333	20.138409956	116.0	18.8325958558	102.666666667	10.6562449088
6.4	103.666666667	16.7398393727	111.0	20.6074420214	131.333333333	25.2234458832	106.333333333	11.0855260989
6.5	114.666666667	31.030450994	127.666666667	17.9133717901	133.666666667	12.0369800568	122.0	17.1464281995
6.6	125.0	24.0970260959	130.0	25.9229627936	149.333333333	14.3836326736	149.666666667	26.9485105752
6.7	151.333333333	26.1576417558	162.333333333	30.2250815641	190.666666667	23.6830928911	184.333333333	17.6320415406
6.8	211.0	23.5513623102	230.0	53.0471488395	217.666666667	19.686430747	212.333333333	34.8743777324
6.9	349.666666667	51.9058977595	327.666666667	67.7757741052	297.666666667	34.9888871247	317.666666667	37.0345184329
7.0	568.666666667	98.7398377331	503.333333333	85.41792682	514.0	77.6444889652	463.0	29.3938769134
7.1	999.333333333	64.6288549248	906.666666667	37.8094638359	803.0	99.7028919674	760.333333333	15.5848929701
7.2	1667.33333333	55.6496980126	1621.0	79.2338311582	1386.0	126.224667425	1323.33333333	43.6450328089
7.3	1529.33333333	68.9557023667	1692.0	50.219518118	1604.33333333	63.0890023873	1611.66666667	50.3741556312
7.4	1249.0	28.437065015	1541.33333333	40.3099105542	1538.0	19.3045763141	1657.66666667	98.3237283445
7.5	909.333333333	41.2337510084	1173.33333333	33.0790299468	1227.66666667	16.4991582277	1427.33333333	53.5433365498
7.6	669.0	17.1075032271	831.666666667	23.2999761564	1005.66666667	29.3976567471	1174.33333333	30.214051183
7.7	405.666666667	18.8738502225	585.0	28.6472802665	740.666666667	9.9777530314	897.0	25.3902868567
7.8	259.333333333	26.9113771893	361.0	25.1528659732	486.333333333	28.8713622047	639.0	0.816496580928
7.9	158.0	22.2261107709	239.333333333	31.030450994	305.666666667	21.7460085737	408.666666667	35.1789078221
8.0	119.0	2.82842712475	161.666666667	22.0050499255	204.333333333	13.6950923894	258.333333333	16.213848676
8.1	86.3333333333	8.21921867063	118.0	2.82842712475	139.0	2.94392028878	166.0	10.7082522695
8.2	65.0	2.44948974278	86.3333333333	10.7806410859	98.3333333333	11.4697670227	119.333333333	2.62466929134
8.3	44.6666666667	10.6249183003	61.3333333333	6.01849002842	69.0	3.74165738677	83.0	4.24264068712
8.4	35.3333333333	1.24721912892	44.3333333333	3.29983164554	52.6666666667	5.73488351136	62.0	6.37704215657
8.5	22.3333333333	5.73488351136	43.3333333333	3.29983164554	36.0	6.37704215657	53.6666666667	5.73488351136
8.6	24.3333333333	5.90668171556	32.6666666667	1.6996731712	26.3333333333	2.05480466766	44.3333333333	7.13364485301
8.7	18.3333333333	6.64997911442	28.3333333333	6.94422221867	29.0	7.07106781187	38.0	2.16024689947
8.8	23.0	8.16496580928	30.0	2.94392028878	25.3333333333	4.49691252108	27.3333333333	5.43650214343
8.9	16.0	4.24264068712	18.0	5.09901951359	26.0	2.94392028878	31.6666666667	4.7842333648
9.0	15.6666666667	4.64279609239	18.3333333333	3.09120616517	23.6666666667	3.29983164554	25.6666666667	2.05480466766
9.1	15.0	1.63299316186	20.3333333333	1.24721912892	16.0	4.96655480858	20.6666666667	2.62466929134
9.2	23.0	4.32049379894	12.3333333333	1.6996731712	14.0	2.16024689947	19.0	1.41421356237
9.3	18.3333333333	5.24933858267	16.0	2.16024689947	15.6666666667	3.29983164554	17.3333333333	4.10960933531
9.4	16.6666666667	3.68178700573	13.3333333333	0.471404520791	13.3333333333	1.24721912892	18.3333333333	3.68178700573
9.5	14.6666666667	2.35702260396	16.3333333333	1.6996731712	11.0	3.55902608401	16.3333333333	2.86744175568
9.6	14.3333333333	4.64279609239	11.6666666667	4.18993502999	23.6666666667	3.29983164554	19.3333333333	4.9888765157
9.7	10.6666666667	3.3993463424	10.0	2.16024689947	13.6666666667	2.35702260396	16.6666666667	2.35702260396
9.8	10.6666666667	2.35702260396	12.0	0.816496580928	13.3333333333	5.43650214343	15.0	4.24264068712
9.9	7.33333333333	0.471404520791	12.0	2.82842712475	13.3333333333	1.88561808316	17.3333333333	3.3993463424
10.0	11.3333333333	2.49443825785	9.66666666667	2.49443825785	15.6666666667	0.942809041582	16.6666666667	2.86744175568
10.1	11.3333333333	2.62466929134	9.0	5.09901951359	14.3333333333	4.0276819912	18.0	2.94392028878
10.2	10.0	5.88784057755	10.0	2.82842712475	11.0	2.44948974278	12.3333333333	1.24721912892
10.3	10.0	4.32049379894	11.3333333333	2.49443825785	9.33333333333	3.29983164554	13.6666666667	3.85861230093
10.4	7.66666666667	2.86744175568	7.0	4.32049379894	9.33333333333	2.49443825785	8.0	2.16024689947
10.5	7.0	2.16024689947	9.0	2.16024689947	4.66666666667	2.62466929134	11.6666666667	2.05480466766
10.6	4.66666666667	3.09120616517	7.33333333333	2.62466929134	7.0	2.16024689947	10.0	1.41421356237
10.7	6.66666666667	2.05480466766	9.33333333333	1.88561808316	5.66666666667	1.6996731712	6.0	2.94392028878
10.8	5.66666666667	1.24721912892	5.33333333333	1.24721912892	7.66666666667	0.471404520791	8.0	0.816496580928
10.9	5.0	1.63299316186	4.0	0.816496580928	4.0	0.0	6.66666666667	2.05480466766
11.0	6.66666666667	4.49691252108	4.66666666667	1.88561808316	8.33333333333	3.68178700573	5.66666666667	1.24721912892
11.1	4.0	0.816496580928	5.33333333333	1.88561808316	5.66666666667	0.471404520791	4.0	0.816496580928
11.2	4.33333333333	1.6996731712	1.66666666667	0.471404520791	4.33333333333	1.24721912892	4.0	1.41421356237
11.3	4.33333333333	0.942809041582	5.33333333333	2.62466929134	2.66666666667	2.05480466766	4.33333333333	1.88561808316
11.4	4.66666666667	1.24721912892	4.66666666667	3.29983164554	4.66666666667	1.88561808316	5.66666666667	2.05480466766
11.5	7.0	1.63299316186	3.66666666667	1.88561808316	3.33333333333	1.6996731712	4.0	2.16024689947
11.6	3.33333333333	1.6996731712	3.66666666667	0.942809041582	3.0	0.816496580928	7.0	1.41421356237
11.7	3.0	1.41421356237	2.33333333333	1.24721912892	5.66666666667	1.6996731712	2.0	0.816496580928
